aardvark	oryctérope
cousin	cousine
cover	couverture
cow	bovin
cow	garce
cow	chipie
cowpat	bouse
cow	vache
cow	vache
coyote	coyote
crab	crabe
crab	morpions
cramp	crampe
cranberry	canneberge
crane	grue
Crater	Coupe
crater	cratère
crayfish	écrevisse
creamy	crémeux
creamy	crémeuse
creation	création
creationism	créationnisme
creative	créatif
creative	créative
creativity	créativité
creator	créateur
creature	âtre
crepuscule	crépuscule
Crete	Crète
crew	équipage
crib	huche
cricket	cricket
cricket	grillon
cricket	cri-cri
cricket	criquet
crime	crime
criminology	criminologie
crisis	crise
crisps	chips
criterion	critère
croak	coassement
crocodile	crocodile
croissant	croissant
crop	recolte
crossbow	arbalète
cross	croix
crossroads	carrefour
crow	corneille
crown	clef
crown	couronne
crown	couronnement
crown	fond
crown	milieu
crown	sommet
crown	sommet
crown	faîte
crow	pied-de-biche
crow	chant
crumb	mie
crumb	miette
crusade	croisade
Crusade	croisade
crusader	croisé
crustacean	crustacé
crust	croûte
crux	croix
cryolite	cryolithe
cryolite	cryolite
crypt	crypte
cryptography	cryptographie
crystal	cristal
crystallography	cristallographie
Cuban	cubain
Cuban	cubaine
cube	cube
cucumber	concombre
cuddle	calin
cul-de-sac	cul-de-sac
cul-de-sac	impasse
cul-de-sac	impasse
culture	culture
cumin	cumin
cum	jus
cumulonimbus	cumulonimbus
cunt	chatte
cunt	salope
cunt	salaud
cunt	con
cup	tasse
cup	coupe
cup	bonnet
cure	traitement
curfew	couvre-feu
curlew	courlie
currant	groseille
currency	monnaie
current	courant
curtain	rideau
curve	courbe
cute	mignon
cute	mignonne
cuttlefish	seiche
cycle	cycle
cycle	tour
cycloid	cycloïdal
cycloid	cycloïdale
cycloid	cycloïde
cyclone	cyclone
Cygnus	Cygne
cylinder	cylindre
Cyril	Cyrille
Cyrillic	cyrillique
cytology	cytologie
cytosol	cytosol
cytosol	hyaloplasme
Czechia	Tchéquie
dace	vandoise
dachshund	teckel
dactylology	dactylologie
daffodil	jonquille
dagger	croix
dagger	poignard
dairy	laitier
dairy	laitière
daltonism	daltonisme
damage	dommage
damped	amorti
damped	amortie
dance	danse
dancer	danseur
dancer	danseuse
Dane	Danois
Dane	Danoise
danger	danger
dangerous	dangereux
dangerous	dangereuse
Danish	danois
Danish	danois
Danish	danoise
Danube	Danube
dare	défi
darkness	obscurité
darmstadtium	darmstadtium
dart	fléchettes
data	données
date	date
date	datte
date	rendez-vous
dative	datif
daughter-in-law	bru
daughter-in-law	belle-fille
dawn	aube
dawn	aube
dawn	aurore
day	jour
daylight	jour
DBMS	SGBD
dead	mort
dead	mort
dead	morte
deaf	sourd
deaf	sourde
deal	contrat
deal	pli
deal	donne
dean	doyen
dean	doyenne
dearth	pénurie
death	mort
debate	débat
debris	débris
debtor	débiteur
decade	décennie
decagon	décagone
decameter	decamètre
decay	décheance
December	décembre
decibel	décibel
decilitre	décilitre
decimetre	décimètre
deck	pont
declension	déclinaison
decolonization	décolonisation
decongestant	décongestionnant
decree	décret
decretage	décretage
deer	cerf
defamation	diffamation
defeat	défaite
defenestration	défenestration
deficiency	déficience
deforestation	déforestation
degree	degré
degree	diplôme
deism	déisme
deity	divinité
deity	déité
delay	délai
delay	retard
delicious	délicieux
delicious	délicieuse
delivery	livraison
Delphinus	Dauphin
demagogism	démagogie
demigod	demi-dieu
demiurge	démiurge
democracy	démocratie
demo	démo
demo	démonstration
demonstration	démonstration
demonstration	manifestation
demonym	ethnonyme
demystification	démystification
denier	denier
Denmark	Danemark
density	densité
den	terrier
